variable	Compartment	term	estimate	std.error	statistic	p.value	p.adj	direction	classification	Kingdom	Phylum	Class	Order	Family	Genus	Species	Phylum2
810344	Rhizosphere	Day_After_Germination	0.004262337827549157	0.0014354277690813082	2.9693850985459944	0.003511879277302229	0.18964148097432035	Increasing	Neutral	Bacteria	Acidobacteria	BPC102	B110	unclassified	unclassified	unclassified	Acidobacteria
831419	Rhizosphere	Day_After_Germination	-0.03396916545921941	0.0031328666224297954	-10.842838062755934	2.893769611382481e-20	1.5626355901465398e-18	Decreasing	Decreasing	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	unclassified	Betaproteobacteria
807217	Rhizosphere	Day_After_Germination	0.011219561220714056	0.001067664026220475	10.50851292651607	2.104572026695322e-19	1.1364688944154739e-17	Increasing	Increasing	Bacteria	Verrucomicrobia	[Pedosphaerae]	[Pedosphaerales]	Ellin515	unclassified	unclassified	Verrucomicrobia
635511	Rhizosphere	Day_After_Germination	0.007009657341036512	7.282964747005375e-4	9.624730565830019	3.847638266851957e-17	2.0777246641000565e-15	Increasing	Increasing	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	unclassified	Deltaproteobacteria
2866157	Rhizosphere	Day_After_Germination	0.011438543924454498	8.79193988704095e-4	13.01026175271576	7.279598344959833e-26	3.93098310627831e-24	Increasing	Increasing	Bacteria	Spirochaetes	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema	unclassified	Spirochaetes
2881195	Rhizosphere	Day_After_Germination	5.424736815154111e-5	0.0012256816253722914	0.04425893888640444	0.9647610662048631	1	Increasing	Neutral	Bacteria	Gemmatimonadetes	Gemm-5	unclassified	unclassified	unclassified	unclassified	Gemmatimonadetes
1143021	Rhizosphere	Day_After_Germination	-0.004727361257200599	5.32945917334143e-4	-8.870245748100306	3.0685973976853116e-15	1.6570425947500684e-13	Decreasing	Decreasing	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rubrivivax	unclassified	Betaproteobacteria
2966692	Rhizosphere	Day_After_Germination	0.0038087028240841904	6.528298285511442e-4	5.834143382414101	3.586473005353233e-8	1.9366954228907455e-6	Increasing	Increasing	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Sulfuritalea	unclassified	Betaproteobacteria
1148005	Rhizosphere	Day_After_Germination	-5.912029349394466e-6	3.559427513494755e-4	-0.01660949500159888	0.9867717967335119	1	Decreasing	Neutral	Bacteria	Proteobacteria	Betaproteobacteria	Ellin6067	unclassified	unclassified	unclassified	Betaproteobacteria
3116297	Rhizosphere	Day_After_Germination	0.022687516453580095	0.0019538547361175724	11.611670015275324	2.9784723076725344e-22	1.6083750461431686e-20	Increasing	Increasing	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	unclassified	unclassified	unclassified	Deltaproteobacteria
1136287	Rhizosphere	Day_After_Germination	0.0025546054072534607	3.588525214381444e-4	7.118816936315715	5.197045938944953e-11	2.8064048070302746e-9	Increasing	Increasing	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	K82	unclassified	Betaproteobacteria
